filename,base_name,genre,LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9
jazz.00054.wav,jazz.00054,jazz,1.7417667860698205,-0.43695695611753843,0.6980219706946355,0.8009260766485754,-0.6667871373739197,0.7705180460931566,-0.38158714419957007,0.1560033756522305,1.9048892795004917
jazz.00054.wav_noise,jazz.00054,jazz,1.750552228985124,-0.08325149823556431,0.516787037888416,0.860746723149618,-0.8523261426745988,1.0964512895396492,-0.7301131378729077,-0.03657238933539895,1.8888139928248684
jazz.00054.wav_stretch,jazz.00054,jazz,1.5286928190859086,-0.3364345767278435,0.9086274819546226,0.8954575893796682,-0.8367008299669728,0.5877820143144038,0.07298762879944609,0.6776993302606837,1.1704455824637343
jazz.00054.wav_shift,jazz.00054,jazz,1.719768417861417,-0.1157675999910826,0.7113011032386289,0.975488085581925,-0.529104201346606,0.37136398516654584,0.1332964988594034,0.20761514614206283,1.382592753597198
reggae.00080.wav,reggae.00080,reggae,-2.0498005401155517,2.0489407919256064,0.07184159429516612,-3.036020650636547,0.6698910445679095,0.6704454021801778,0.18646410617273074,-0.3960507628923731,-0.31583926499954235
reggae.00080.wav_noise,reggae.00080,reggae,-1.8481972374685756,2.1622843816625594,0.18326111117824254,-2.98720567699995,0.9609996777808102,0.7049622391998753,-0.19742971695481043,-0.22369919544060496,-0.35451949706626035
reggae.00080.wav_stretch,reggae.00080,reggae,-1.8505406692195356,2.0932006008734754,0.6972317100098764,-2.6399357131314853,0.18265358095103498,0.6603371842547819,1.4304769561314996,-0.705571851967796,-1.1759855265223162
reggae.00080.wav_shift,reggae.00080,reggae,-2.0844081599730897,1.4229494284443447,0.13807133918329204,-2.6617360752781547,0.39875689889539473,0.7867402056997068,1.1843256792760797,0.42879351732681514,-0.9623374396752366
jazz.00016.wav,jazz.00016,jazz,2.507239275717484,-0.9434066338004039,0.8801379292710907,1.7348710192582704,1.4749896962840185,1.0275349790767878,-0.8532510872915284,0.4319550360508738,1.2236458528178602
jazz.00016.wav_noise,jazz.00016,jazz,2.5394833865410344,0.26260892830699706,1.1561117595948749,1.65570288225464,1.5619058385881421,1.0933881586348349,0.31608520377335175,-0.3495286156755739,0.7916349248295652
jazz.00016.wav_stretch,jazz.00016,jazz,2.919751473198667,-0.887162792792752,0.588691528811048,1.194330610028628,1.382780456307903,1.0828919889322133,-0.720408408421625,-0.4508283121523073,0.8767015983625034
jazz.00016.wav_shift,jazz.00016,jazz,3.0098459864911087,-1.0414093792458443,1.4068712304796065,1.2767888057725845,1.7763257525939866,0.9077178775992057,-0.5310180729404274,-0.013406393804869217,0.9383593049109638
disco.00052.wav,disco.00052,disco,-0.621613901371325,-1.0514416457060403,-1.4815889329027996,0.1511907329071719,0.4957142693757634,-2.562692141455386,-0.3671375098224333,0.3227461719266463,-0.2547150614157957
disco.00052.wav_noise,disco.00052,disco,-0.5058382210958071,-1.047652077690725,-0.8490558516148129,-0.014521082208506297,0.2794222160850943,-2.652288366668311,-0.2250615812780277,0.590586638859063,-0.8324008677974037
