filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,mfcc14_var,mfcc15_var,mfcc16_var,mfcc17_var,mfcc18_var,mfcc19_var,mfcc20_var,genre,base_name
jazz.00054.wav,0.27834999561309814,0.08377701,0.16228480637073517,0.002733624,1670.5149518485573,255435.10450835797,2109.8404938666813,191677.10715993695,3464.6158351043277,2031566.9432510177,0.064826694,0.000617287,-0.000262154,0.023456400260329247,-0.001184314,0.001388265,161.4990234,-111.6593857,121.75302124023438,-3.106545687,20.937915802001953,2.5456411838531494,5.563934803009033,-3.241066694,2.602491855621338,-2.298746347,3.927999258041382,-3.639509678,-0.165591136,-3.886058807,0.4421119689941406,0.2633180320262909,-0.880157113,-5.277622223,-1.615724683,-2.933979988,-1.417735577,1706.0633544921875,748.5860595703125,259.9028015136719,139.51165771484375,87.94245910644531,72.14057922363281,50.706295013427734,56.699363708496094,76.22658539,46.69569396972656,60.424102783203125,56.385040283203125,55.82653809,49.98689651489258,56.108070373535156,44.334808349609375,56.53562545776367,60.79269790649414,52.40210723876953,100.98169708251953,jazz,jazz.00054
jazz.00054.wav_noise,0.27853392228409285,0.083735313,0.16237236559391022,0.002731282,1873.1140985027318,195629.9831477604,2401.186978673538,105595.73365424728,3976.1042929506375,1821250.5330195788,0.067056411,0.000594359,-0.000268051,0.023453285,-0.001192422,0.001394414,161.4990234,-102.1456133,110.5191826277938,4.604447261906159,15.82361356787422,5.849070285866137,3.0876923739289293,-1.196691289,0.8659231274534255,-0.614738478,2.403556717,-2.244588503,-1.360929309,-2.874982181,-0.378366959,0.9960943506566362,-1.598788633,-4.525328512,-2.336161596,-2.16127528,-2.202254786,1292.162070654453,439.0283075,207.51757594635305,136.36995130664758,81.24032542,75.75655670088813,49.133876439033564,57.442684235573076,73.32923770568219,46.23917394,59.80538351383653,56.08836008113711,54.12345106536674,49.9820769,54.58621261175952,44.082934594660436,54.95699911294454,59.71263720461235,50.444442853834246,98.81002262719015,jazz,jazz.00054
jazz.00054.wav_stretch,0.28152909874916077,0.084626757,0.11071830242872238,0.001719735,1682.177748854029,262527.7796,2124.6573742334767,188803.82377768212,3502.481356534091,2055825.4883801644,0.066691609,0.000850335,-7.81E-05,0.011764387600123882,-0.000404137,0.000528263,129.1992188,-151.6976166,119.07463836669922,-2.133275509,21.63560676574707,2.275023937225342,5.186359882354736,-3.770543814,2.061415672302246,-2.102865458,4.142076015472412,-3.246073246,-0.536079347,-4.39874649,0.49508607387542725,0.20014190673828125,-0.725878537,-5.11679697,-2.040480137,-3.785585642,-1.759962678,1572.2117919921875,735.6395874023438,254.2357635498047,152.21878051757812,91.65574645996094,73.27162170410156,65.39576721191406,66.88438415527344,75.83466339111328,60.28895187,73.31961822509766,68.97414398,66.04984283447266,54.19437026977539,63.407554626464844,57.18463134765625,64.66254425048828,60.91487121582031,53.01796340942383,87.63841247558594,jazz,jazz.00054
jazz.00054.wav_shift,0.28199103474617004,0.085039429,0.11124888062477112,0.001556406,1556.315682975566,202338.6708834174,1941.7024301550455,161469.2529305608,3218.9725754986957,1691944.9362786969,0.064941029,0.000608407,-1.24E-06,0.011463168077170849,-0.000118262,0.000576622,161.4990234,-157.071579,129.20396423339844,-8.871681213,25.87517547607422,-4.43342638,12.094305038452148,-8.002653122,10.389734268188477,-6.804665089,10.281399726867676,-7.44543457,5.446486473083496,-8.272966385,3.2432260513305664,-4.745364666,6.632953643798828,-7.228725433,2.7393593788146973,-7.020241261,2.5516774654388428,1529.8248291015625,659.4285278320312,220.72512817382812,147.5927734,92.64114379882812,86.78266143798828,55.71245193481445,63.05931091308594,78.25479888916016,57.75696563720703,64.51651763916016,60.455806732177734,58.22970199584961,50.973838806152344,54.009002685546875,63.59721374511719,47.78609848022461,60.71168518066406,71.70269012451172,76.44274139404297,jazz,jazz.00054
reggae.00080.wav,0.4768904745578766,0.093863256,0.19564289,0.010611641,2539.0813791672917,876180.2892174196,2644.4142912245397,166273.90824449182,5260.713071889501,2788435.105523787,0.09429757,0.004990526,-0.000154175,0.02765202,-0.001066933,0.008858779,99.38401442307692,-103.1638412,67.22570037841797,2.2265329360961914,28.50044631958008,4.172344685,11.87251091003418,14.247097969055176,14.287373542785645,3.257277011871338,15.844996452331545,8.035182953,4.460183143615723,8.673220634,8.064099311828613,7.978476524353027,5.0149760246276855,3.729424953460693,-0.33167392,-0.93590194,-1.080480814,5829.178223,850.6268310546875,719.3329467773438,285.3530578613281,219.5382843017578,225.8796387,246.70538330078125,121.5420150756836,107.13899230957033,145.39442443847656,127.21074676513672,51.48235702514648,58.71669387817383,53.47260665893555,70.77140808105469,63.21391677856445,44.31458282470703,42.79376983642578,66.89264678955078,76.82912445,reggae,reggae.00080
reggae.00080.wav_noise,0.4777753322364166,0.093729554,0.19573142,0.010599389,2677.7198424713147,742985.6391527057,2781.6272480587395,109490.04606773757,5645.895945113109,2167063.787004937,0.098703052,0.005194851,-0.000150975,0.027656153,-0.001064838,0.008853977,99.38401442307692,-97.02411334,61.84290094286319,4.933808843606264,26.184610477692456,5.845227350157318,11.031895022973124,14.491456510802363,13.505033701026136,4.363302137,14.78231890108563,8.381337547899292,4.460860383,8.615769821406337,8.078078337575887,7.646584637413004,5.242583324674607,3.549000695502868,-0.095281797,-1.097469455,-0.770325798,4847.501108104003,625.4397934479503,671.9853784937827,272.3759369337543,215.0837573662012,206.69168918624757,231.12437629520275,115.16476164619952,98.56451000929248,130.72263380011816,121.2240435624467,48.95994259968524,55.63919325,52.191724640139626,66.66869502521706,58.91976617514441,42.64752210086406,39.926417678400725,63.40460192622707,72.61973941784733,reggae,reggae.00080
reggae.00080.wav_stretch,0.46501264,0.09191484,0.13412566,0.006105036,2583.767435948248,806237.4741170462,2677.1510566579764,143356.3110447333,5381.621831006343,2490930.2487469125,0.1065057433477722,0.0067012,-1.08E-05,0.014536981,-1.93E-05,0.003935418,161.4990234,-133.6293488,65.05105590820312,2.597093105316162,28.40389060974121,4.277011394500732,11.835553169250488,13.390185356140137,13.77419090270996,3.498929977416992,15.091214179992676,7.872337818145752,4.233078002929688,8.504034042358398,8.031428337097168,7.505899429321289,4.874281883239746,3.709059000015259,-0.194926947,-1.025485992,-0.976174057,5108.870605,731.3945922851562,657.8723754882812,274.8894348144531,212.11631774902344,205.8278961181641,240.1015625,114.20863342285156,102.73220825195312,140.4415283203125,120.98297119140624,51.810585021972656,58.84772491455078,53.19443893432617,72.12018585205078,64.14533233642578,47.24199295043945,45.90823745727539,65.21396637,75.78968811035156,reggae,reggae.00080
reggae.00080.wav_shift,0.4794259071350097,0.087957658,0.12917186,0.004223396,2366.190596675316,641928.2059,2436.105769393118,117425.4852633414,4952.703333454177,2006084.070138255,0.1006048192188708,0.005543278,-3.84E-05,0.012393411,-0.000187397,0.003350308,99.38401442307692,-136.6036835,74.90987396240234,-5.422505856,36.38800811767578,-2.731989384,17.120691299438477,4.6540069580078125,21.66796493530273,-3.288526297,19.74341393,5.323932647705078,10.425015449523926,0.6189068555831909,13.291742324829102,1.933003306388855,11.957106590270996,0.3456318974494934,8.070895195007324,-5.282752037,3.3288440704345703,4658.323242,632.8883666992188,619.0809936523438,248.9029083251953,212.92074584960935,218.5076904296875,207.3098907470703,125.5897979736328,116.83259582519533,96.19410705566406,131.54159545898438,67.63147735595703,66.89249420166016,46.98533248901367,73.26294708251953,58.44047164916992,61.00645446777344,47.91601943969727,52.73722839355469,71.54739379882812,reggae,reggae.00080
jazz.00016.wav,0.2495567947626114,0.08757101,0.060548145,0.00127676,1465.8580994279907,143300.72709945808,1738.8147827080952,58820.210558487874,2822.465015951276,739407.5274218154,0.069844989,0.001224729,4.211369378026575e-05,0.004387448,0.000112087,0.000151209,73.828125,-259.9098511,123.19316864013672,-6.395085812,37.57144927978516,-2.97894454,13.065518379211426,-14.08404922,5.309153079986572,-11.9724369,3.5174100399017334,-9.638735771,5.337090492248535,-7.837250233,3.2650763988494877,-0.551116109,2.8901607990264893,-0.025584351,2.1009786128997803,1.1095958948135376,2.933173418045044,2795.083496,668.8418579101562,366.1119384765625,183.8859100341797,82.23471069335938,108.6852035522461,86.20740509033203,72.81829071044922,75.67514038085938,52.52832031,53.14210510253906,67.63065338134766,60.28398132324219,63.64615249633789,124.64997863769533,109.80355834960938,113.6108627319336,160.02603149414062,136.82501220703125,95.86655426,jazz,jazz.00016
jazz.00016.wav_noise,0.2527581200213386,0.087440558,0.06084019,0.001267047,2625.861938370296,303271.23934622994,2910.355656759892,163182.99115046996,6083.412995,2245166.198191889,0.092872755,0.001242026,4.216940019145058e-05,0.004375923,0.000119453,0.000158283,73.828125,-207.9108145,76.19351484948348,15.756337854643606,18.423469630828464,9.114509222691376,2.12643629,-3.159062021,-3.365908266,-3.280562904,-3.987775194,-3.481445476,-0.389123522,-2.29968248,-0.5375287,1.985498687457244,1.0665647880529427,0.7933574506277659,1.5051751758972107,1.4321167401633514,2.894580163958912,1283.6800861472364,390.5663550162178,313.52086219631923,137.93374603262612,61.64029099814135,72.25798022,72.25703867655243,57.82415522266442,53.52899070971692,34.62434459,28.70085917741553,44.16594175925968,44.45736190447784,54.01680773562981,100.47609871623516,92.69269972246488,82.39873055986098,131.02001401780316,111.73929676555876,72.62175481,jazz,jazz.00016
